"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","24-12-2018(Week: 52)","06-01-2019(Week: 01)"
"Spring break 2019","All","04-03-2019(Week: 10)","10-03-2019(Week: 10)"
"Easter holiday 2019","All","08-04-2019(Week: 15)","22-04-2019(Week: 17)"
"Summer holiday 2019","All","01-07-2019(Week: 27)","31-08-2019(Week: 35)"
"Autumn break 2019","All","28-10-2019(Week: 44)","03-11-2019(Week: 44)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","05-01-2020(Week: 01)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","05-01-2020(Week: 01)"
"Spring break 2020","All","24-02-2020(Week: 09)","01-03-2020(Week: 09)"
"Easter holiday 2020","All","06-04-2020(Week: 15)","19-04-2020(Week: 16)"
"Summer holiday 2020","All","01-07-2020(Week: 27)","31-08-2020(Week: 36)"
"Autumn break 2020","All","02-11-2020(Week: 45)","08-11-2020(Week: 45)"
"Christmas holiday 2020","All","21-12-2020(Week: 52)","03-01-2021(Week: 53)"
"Christmas holiday 2020","All","21-12-2020(Week: 52)","03-01-2021(Week: 53)"
"Spring break 2021","All","15-02-2021(Week: 07)","21-02-2021(Week: 07)"
"Easter holiday 2021","All","05-04-2021(Week: 14)","18-04-2021(Week: 15)"
"Summer holiday 2021","All","01-07-2021(Week: 26)","31-08-2021(Week: 35)"
"Autumn break 2021","All","01-11-2021(Week: 44)","07-11-2021(Week: 44)"
"Christmas holiday 2021","All","27-12-2021(Week: 52)","09-01-2022(Week: 01)"
