"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","","24-12-2018(Week: 52)","02-01-2019(Week: 01)"
"Spring Holidays (region 6)*","","04-02-2019(Week: 06)","08-02-2019(Week: 06)"
"Spring Holidays (region 1)*","","11-02-2019(Week: 07)","15-02-2019(Week: 07)"
"Spring Holidays (region 2)*","","18-02-2019(Week: 08)","22-02-2019(Week: 08)"
"Spring Holidays (region 3)*","","25-02-2019(Week: 09)","01-03-2019(Week: 09)"
"Spring Holidays (region 4)*","","04-03-2019(Week: 10)","08-03-2019(Week: 10)"
"Spring Holidays (region 5)*","","11-03-2019(Week: 11)","15-03-2019(Week: 11)"
"Easter Holidays","","18-04-2019(Week: 16)","19-04-2019(Week: 16)"
"Summer Holidays","","01-07-2019(Week: 27)","30-08-2019(Week: 35)"
"Autumn Holidays","","29-10-2019(Week: 44)","30-10-2019(Week: 44)"
"Christmas Holidays","","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
