"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018(Zone A, B, C)","Zone A, B, C","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"Winter holiday 2019(Zone B)","Zone B","11-02-2019(Week: 07)","22-02-2019(Week: 08)"
"Winter holiday 2019(Zone A)","Zone A","18-02-2019(Week: 08)","01-03-2019(Week: 09)"
"Winter holiday 2019(Zone C)","Zone C","25-02-2019(Week: 09)","08-03-2019(Week: 10)"
"Spring break 2019(Zone B)","Zone B","08-04-2019(Week: 15)","22-04-2019(Week: 17)"
"Spring holiday 2019(Zone A)","Zone A","15-04-2019(Week: 16)","26-04-2019(Week: 17)"
"Spring break 2019(Zone C)","Zone C","22-04-2019(Week: 17)","03-05-2019(Week: 18)"
"Summer holiday 2019(Zone A, B, C)","Zone A, B, C","08-07-2019(Week: 28)","30-08-2019(Week: 35)"
"Autumn break 2019(Zone A, B, C)","Zone A, B, C","21-10-2019(Week: 43)","01-11-2019(Week: 44)"
"Christmas holiday 2019(Zone A, B, C)","Zone A, B, C","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Christmas holiday 2019(Zone A, B, C)","Zone A, B, C","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Winter holiday 2020(Zone C)","Zone C","10-02-2020(Week: 07)","21-02-2020(Week: 08)"
"Winter holiday 2020(Zone B)","Zone B","17-02-2020(Week: 08)","28-02-2020(Week: 09)"
"Winter holiday 2020(Zone A)","Zone A","24-02-2020(Week: 09)","06-03-2020(Week: 10)"
"Spring break 2020(Zone C)","Zone C","06-04-2020(Week: 15)","17-04-2020(Week: 16)"
"Spring break 2020(Zone B)","Zone B","13-04-2020(Week: 16)","26-04-2020(Week: 17)"
"Spring holiday 2020(Zone A)","Zone A","20-04-2020(Week: 17)","01-05-2020(Week: 18)"
"Summer holiday 2020(Zone A, B, C)","Zone A, B, C","06-07-2020(Week: 28)","28-08-2020(Week: 35)"
