"School-Holiday Type","Region","Start Date","End Date"
"Winter holiday 2019","Baden-Württemberg","-","-"
"Winter holiday 2019","Bavaria","04-03-2019","08-03-2019"
"Winter holiday 2019","Berlin","04-02-2019","09-02-2019"
"Winter holiday 2019","Brandenburg","04-02-2019","09-02-2019"
"Winter holiday 2019","Bremen","31-01-2019","01-02-2019"
"Winter holiday 2019","Hamburg","01-02-2019","01-02-2019"
"Winter holiday 2019","Hessen","-","-"
"Winter holiday 2019","Lower Saxony","31-01-2019","01-02-2019"
"Winter holiday 2019","Mecklenburg-Vorpommern","04-02-2019","15-02-2019"
"Winter holiday 2019","North Rhine Westfalia","-","-"
"Winter holiday 2019","Rhineland-Palatinate","25-02-2019","01-03-2019"
"Winter holiday 2019","Saarland","25-02-2019","05-03-2019"
"Winter holiday 2019","Saxony","18-02-2019","02-03-2019"
"Winter holiday 2019","Saxony-Anhalt","11-02-2019","15-02-2019"
"Winter holiday 2019","Schleswig Holstein","-","-"
"Winter holiday 2019","Thuringia","11-02-2019","15-02-2019"
"Easter / Spring break 2019","Baden-Württemberg","15-04-2019","27-04-2019"
"Easter holidays 2019","Bavaria","15-04-2019","27-04-2019"
"Easter holidays 2019","Berlin","15-04-2019","26-04-2019"
"Easter holidays 2019","Brandenburg","15-04-2019","26-04-2019"
"Easter holidays 2019","Bremen","06-04-2019","23-04-2019"
"Easter holidays 2019","Hamburg","04-03-2019","15-03-2019"
"Easter holidays 2019","Hessen","14-04-2019","27-04-2019"
"Easter holidays 2019","Lower Saxony","08-04-2019","23-04-2019"
"Easter holidays 2019","Mecklenburg-Vorpommern","15-04-2019","24-04-2019"
"Easter holidays 2019","North Rhine Westfalia","15-04-2019","27-04-2019"
"Easter holidays 2019","Rhineland-Palatinate","22-04-2019","30-04-2019"
"Easter holidays 2019","Saarland","17-04-2019","26-04-2019"
"Easter holidays 2019","Saxony","19-04-2019","26-04-2019"
"Easter holidays 2019","Saxony-Anhalt","18-04-2019","30-04-2019"
"Easter holidays 2019","Schleswig Holstein","04-04-2019","18-04-2019"
"Easter holidays 2019","Thuringia","15-04-2019","27-04-2019"
"Ascension/Whit Sunday 2019","Baden-Württemberg","11-06-2019","21-06-2019"
"Ascension/Whit Sunday 2019","Bavaria","11-06-2019","21-06-2019"
"Ascension/Whit Sunday 2019","Berlin","-","-"
"Ascension/Whit Sunday 2019","Brandenburg","-","-"
"Ascension/Whit Sunday 2019","Bremen","31-05-2019","31-05-2019"
"Ascension/Whit Sunday 2019","Hamburg","13-05-2019","17-05-2019"
"Ascension/Whit Sunday 2019","Hessen","31-05-2019","31-05-2019"
"Ascension/Whit Sunday 2019","Lower Saxony","30-05-2019","31-05-2019"
"Ascension/Whit Sunday 2019","Mecklenburg-Vorpommern","07-06-2019","11-06-2019"
"Ascension/Whit Sunday 2019","North Rhine Westfalia","10-06-2019","11-06-2019"
"Ascension/Whit Sunday 2019","Rhineland-Palatinate","30-05-2019","30-05-2019"
"Ascension/Whit Sunday 2019","Saarland","30-05-2019","30-05-2019"
"Ascension/Whit Sunday 2019","Saxony","30-05-2019","31-05-2019"
"Ascension/Whit Sunday 2019","Saxony-Anhalt","30-05-2019","01-06-2019"
"Ascension/Whit Sunday 2019","Schleswig Holstein","30-05-2019","31-05-2019"
"Ascension/Whit Sunday 2019","Thuringia","30-05-2019","31-05-2019"
"Summer holiday 2019","Baden-Württemberg","29-07-2019","10-09-2019"
"Summer holiday 2019","Bavaria","29-07-2019","09-09-2019"
"Summer holiday 2019","Berlin","20-06-2019","02-08-2019"
"Summer holiday 2019","Brandenburg","20-06-2019","03-08-2019"
"Summer holiday 2019","Bremen","04-07-2019","14-08-2019"
"Summer holiday 2019","Bremen","04-07-2019","14-08-2019"
"Summer holiday 2019","Hamburg","27-06-2019","07-08-2019"
"Summer holiday 2019","Hessen","01-07-2019","09-08-2019"
"Summer holiday 2019","Lower Saxony","04-07-2019","14-08-2019"
"Summer holiday 2019","Mecklenburg-Vorpommern","01-07-2019","10-08-2019"
"Summer holiday 2019","North Rhine Westfalia","15-07-2019","27-08-2019"
"Summer holiday 2019","Rhineland-Palatinate","01-07-2019","09-08-2019"
"Summer holiday 2019","Saarland","01-07-2019","09-08-2019"
"Summer holiday 2019","Saxony","08-07-2019","16-08-2019"
"Summer holiday 2019","Saxony-Anhalt","04-07-2019","14-08-2019"
"Summer holiday 2019","Schleswig Holstein","01-07-2019","10-08-2019"
"Summer holiday 2019","Thuringia","08-07-2019","17-08-2019"
"Autumn break 2019","Baden-Württemberg","28-10-2019","30-10-2019"
"Autumn break 2019","Berlin","28-10-2019","31-10-2019"
"Autumn break 2019","Berlin","07-10-2019","19-10-2019"
"Autumn break 2019","Brandenburg","04-10-2019","18-10-2019"
"Autumn break 2019","Bremen","04-10-2019","18-10-2019"
"Autumn break 2019","Hamburg","04-10-2019","18-10-2019"
"Autumn break 2019","Hessen","30-09-2019","12-10-2019"
"Autumn break 2019","Lower Saxony","04-10-2019","18-10-2019"
"Autumn break 2019","Mecklenburg-Vorpommern","07-10-2019","12-10-2019"
"Autumn break 2019","North Rhine Westfalia","14-10-2019","26-10-2019"
"Autumn break 2019","Rhineland-Palatinate","30-09-2019","11-10-2019"
"Autumn break 2019","Saarland","07-10-2019","18-10-2019"
"Autumn break 2019","Saxony","14-10-2019","25-10-2019"
"Autumn break 2019","Saxony-Anhalt","04-10-2019","11-10-2019"
"Autumn break 2019","Schleswig Holstein","04-10-2019","18-10-2019"
"Autumn break 2019","Thuringia","07-10-2019","19-10-2019"
"Christmas holiday 2018","Baden-Württemberg","24-12-2018","05-01-2019"
"Christmas holiday 2019","Baden-Württemberg","23-12-2019","04-01-2020"
"Christmas holiday 2018","Bavaria","22-12-2018","05-01-2019"
"Christmas holiday 2018","Berlin","22-12-2018","05-01-2019"
"Christmas holiday 2019","Berlin","23-12-2019","04-01-2020"
"Christmas holiday 2019","Berlin","23-12-2019","04-01-2020"
"Christmas holiday 2018","Brandenburg","21-12-2018","05-01-2019"
"Christmas holiday 2019","Brandenburg","23-12-2019","03-01-2020"
"Christmas holiday 2019","Bremen","21-12-2019","06-01-2020"
"Christmas holiday 2018","Bremen","24-12-2018","04-01-2019"
"Christmas holiday 2019","Hamburg","23-12-2019","03-01-2020"
"Christmas holiday 2018","Hamburg","20-12-2018","04-01-2019"
"Christmas holiday 2019","Hessen","23-12-2019","11-01-2020"
"Christmas holiday 2018","Hessen","24-12-2018","12-01-2019"
"Christmas holiday 2019","Lower Saxony","23-12-2019","06-01-2020"
"Christmas holiday 2018","Lower Saxony","24-12-2018","04-01-2019"
"Christmas holiday 2019","Mecklenburg-Vorpommern","23-12-2019","04-01-2020"
"Christmas holiday 2018","Mecklenburg-Vorpommern","24-12-2018","05-01-2019"
"Christmas holiday 2019","North Rhine Westfalia","23-12-2019","06-01-2020"
"Christmas holiday 2018","North Rhine Westfalia","21-12-2018","04-01-2019"
"Christmas holiday 2019","Rhineland-Palatinate","23-12-2019","06-01-2020"
"Christmas holiday 2018","Rhineland-Palatinate","20-12-2018","04-01-2019"
"Christmas holiday 2019","Saarland","23-12-2019","03-01-2020"
"Christmas holiday 2018","Saarland","22-12-2018","04-01-2019"
"Christmas holiday 2019","Saxony","21-12-2019","03-01-2020"
"Christmas holiday 2018","Saxony","22-12-2018","04-01-2019"
"Christmas holiday 2019","Saxony-Anhalt","23-12-2019","04-01-2020"
"Christmas holiday 2018","Saxony-Anhalt","19-12-2018","04-01-2019"
"Christmas holiday 2019","Schleswig Holstein","23-12-2019","06-01-2020"
"Christmas holiday 2018","Schleswig Holstein","21-12-2018","04-01-2019"
"Christmas holiday 2019","Thuringia","21-12-2019","03-01-2020"
"Christmas holiday 2018","Thuringia","21-12-2018","04-01-2019"
