"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"Sports Holidays","All","04-03-2019(Week: 10)","08-03-2019(Week: 10)"
"Easter Holidays","All","18-04-2019(Week: 16)","03-05-2019(Week: 18)"
"Summer Holidays","All","08-07-2019(Week: 28)","16-08-2019(Week: 33)"
"Autumn Holidays","All","07-10-2019(Week: 41)","18-10-2019(Week: 42)"
"Christmas Holidays","All","23-12-2019(Week: 52)","06-01-2020(Week: 02)"
"Christmas Holidays","All","23-12-2019(Week: 52)","06-01-2020(Week: 02)"
"Sports Holidays","All","24-02-2020(Week: 09)","28-02-2020(Week: 09)"
"Easter Holidays","All","09-04-2020(Week: 15)","24-04-2020(Week: 17)"
"Summer Holidays","All","06-07-2020(Week: 28)","14-08-2020(Week: 33)"
