"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","22-12-2018(Week: 51)","06-01-2019(Week: 01)"
"Carnival Holidays","All","16-02-2019(Week: 07)","24-02-2019(Week: 08)"
"Easter Holidays","All","06-04-2019(Week: 14)","22-04-2019(Week: 17)"
"Pentecost Holidays","All","25-05-2019(Week: 21)","02-06-2019(Week: 22)"
"Summer Holidays","All","13-07-2019(Week: 28)","15-09-2019(Week: 37)"
"Autumn Holidays","All","26-10-2019(Week: 43)","03-11-2019(Week: 44)"
"Christmas Holidays","All","21-12-2019(Week: 51)","05-01-2020(Week: 01)"
"Christmas Holidays","All","21-12-2019(Week: 51)","05-01-2020(Week: 01)"
"Carnival Holidays","All","15-02-2020(Week: 07)","23-02-2020(Week: 08)"
"Easter Holidays","All","04-04-2020(Week: 14)","19-04-2020(Week: 16)"
"Pentecost Holidays","All","30-05-2020(Week: 22)","07-06-2020(Week: 23)"
"Summer Holidays","All","16-07-2020(Week: 29)","14-09-2020(Week: 38)"
