"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"Spring half term 2019","All","18-02-2019(Week: 08)","22-02-2019(Week: 08)"
"Spring half term 2019","All","25-02-2019(Week: 09)","01-03-2019(Week: 09)"
"Easter holidays 2019","All","15-04-2019(Week: 16)","26-04-2019(Week: 17)"
"Summer half term 2019","All","27-05-2019(Week: 22)","31-05-2019(Week: 22)"
"Summer holiday 2019","All","22-07-2019(Week: 30)","30-08-2019(Week: 35)"
"Autumn break 2019","All","28-10-2019(Week: 44)","01-11-2019(Week: 44)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Spring half term holiday 2020","All","17-02-2020(Week: 08)","28-02-2020(Week: 09)"
"Easter holidays 2020","All","06-04-2020(Week: 15)","17-04-2020(Week: 16)"
"Summer half term holiday 2020","All","25-05-2020(Week: 22)","29-05-2020(Week: 22)"
"Summer holiday 2020","All","21-07-2020(Week: 30)","28-08-2020(Week: 35)"
