"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"February half term 2019","All","18-02-2019(Week: 08)","01-03-2019(Week: 09)"
"Easter holidays 2019","All","08-04-2019(Week: 15)","26-04-2019(Week: 17)"
"Summer break 2019 (May half term)","All","27-05-2019(Week: 22)","31-05-2019(Week: 22)"
"Summer holiday 2019","All","15-07-2019(Week: 29)","06-09-2019(Week: 36)"
"Autumn break 2019 (October half term)","All","21-10-2019(Week: 43)","01-11-2019(Week: 44)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"February half term 2020","All","17-02-2020(Week: 08)","28-02-2020(Week: 09)"
"Easter holidays 2020","All","06-04-2020(Week: 15)","17-04-2020(Week: 16)"
"Summer break 2020 (May half term)","All","25-05-2020(Week: 22)","29-05-2020(Week: 22)"
"Summer holiday 2020","All","15-07-2020(Week: 29)","01-09-2020(Week: 36)"
"Autumn break 2020 (October half term)","All","19-10-2020(Week: 43)","30-10-2020(Week: 44)"
"Christmas holiday 2020","All","21-12-2020(Week: 52)","01-01-2021(Week: 53)"
